id	name	image	biog	url_key
353	Centry	NULL	NULL	6gf9p
354	Cha Cha Cohen	NULL	NULL	xjbd3
355	Chakk	NULL	NULL	pfw6m
356	Chameleons	NULL	NULL	3b9x2
357	Champion Doug Veitch	NULL	NULL	mwdpn
358	Chapman Whitney	NULL	NULL	2963q
359	Chapter 13	NULL	NULL	ndxm5
360	Chapterhouse	NULL	NULL	q6p28
361	Charlatans	NULL	NULL	5x3nv
362	Charlie	NULL	NULL	8pmq4
363	Charlie Feathers	NULL	NULL	v325c
364	Charlottefield	NULL	NULL	4mn8r
365	Charlottes	NULL	NULL	c2qvh
366	Chefs	NULL	NULL	rn54z
367	Chelsea	NULL	NULL	hq8cg
368	Chemical Brothers	NULL	NULL	z5vrj
369	Cherry Boys	NULL	NULL	gvczb
370	Cherry Forever	NULL	NULL	j4rgw
371	Cherryblades	NULL	NULL	fchj9
372	Chevalier Brothers	NULL	NULL	brzfd
373	Cheviot Ranters	NULL	NULL	whgb6
374	Chicks On Speed	NULL	NULL	9zjwx
375	Chieftains	NULL	NULL	dgf9p
376	Children Of The Bong	NULL	NULL	6jbd3
377	Chilli Willi & the Red Hot Peppers	NULL	NULL	xfw6m
378	Chills	NULL	NULL	pb9x2
379	China Crisis	NULL	NULL	3wdpn
380	China Drum	NULL	NULL	m963q
381	Chinese Gangster Element	NULL	NULL	2dxm5
382	Chris Foster	NULL	NULL	n6p28
383	Chris Hardy	NULL	NULL	qx3nv
384	Chris Spedding	NULL	NULL	5pmq4
385	Chris Tundra Stainton	NULL	NULL	8325c
386	Christ	NULL	NULL	vmn8r
387	Christians In Search Of Filth	NULL	NULL	42qvh
388	Christie Hennessey	NULL	NULL	cn54z
389	Christoph De Babylon	NULL	NULL	rq8cg
390	Chrome Cranks	NULL	NULL	h5vrj
391	Chuck	NULL	NULL	z84hf
392	Chukki Starr & The Ruff Cutt Band	NULL	NULL	g4rgw
393	Chumbawamba	NULL	NULL	jchj9
394	Cigarettes	NULL	NULL	frzfd
395	Cimarrons	NULL	NULL	bhgb6
396	Cinerama	NULL	NULL	wzjwx
397	Circle	NULL	NULL	9gf9p
398	City Limits Crew & The Mutant Rockers	NULL	NULL	djbd3
399	Claire	NULL	NULL	6fw6m
400	Claire Hammill	NULL	NULL	xb9x2
401	Clearlake	NULL	NULL	pwdpn
402	Climax Blues Band	NULL	NULL	3963q
403	Clinic	NULL	NULL	mdxm5
404	Clock DVA	NULL	NULL	26p28
405	Close Lobsters	NULL	NULL	nx3nv
406	Clotaire K	NULL	NULL	qpmq4
407	cLOUDDEAD	NULL	NULL	5325c
408	Clouds	NULL	NULL	8mn8r
409	CNN	NULL	NULL	v2qvh
410	Coalition	NULL	NULL	4n54z
411	Cobra	NULL	NULL	cq8cg
412	Cockney Rebel	NULL	NULL	r5vrj
413	Cockney Rejects	NULL	NULL	h84hf
414	Cocteau Twins	NULL	NULL	zvczb
415	Codeine	NULL	NULL	gchj9
416	Coin Op	NULL	NULL	jrzfd
417	Coldcut	NULL	NULL	fhgb6
418	Colin Blunstone	NULL	NULL	bzjwx
419	Colon	NULL	NULL	wgf9p
420	Colorblind James Experience	NULL	NULL	9jbd3
421	Colosseum II	NULL	NULL	dfw6m
422	Colourbox	NULL	NULL	6b9x2
423	Colours Out Of Time	NULL	NULL	xwdpn
424	Comatose	NULL	NULL	p963q
425	Come	NULL	NULL	3dxm5
426	Come In Tokio	NULL	NULL	m6p28
427	Come Ons	NULL	NULL	2x3nv
428	Comet Gain	NULL	NULL	npmq4
429	Company 2	NULL	NULL	q325c
430	Comsat Angels	NULL	NULL	5mn8r
431	Conemelt	NULL	NULL	82qvh
432	Conflict	NULL	NULL	vn54z
433	Conscious Sounds Collective	NULL	NULL	4q8cg
434	Consolidated	NULL	NULL	c5vrj
435	Cook Da Books	NULL	NULL	r84hf
436	Cookie Crew	NULL	NULL	hvczb
437	Cop Shoot Cop	NULL	NULL	z4rgw
438	Cords	NULL	NULL	grzfd
439	Cornelius	NULL	NULL	jhgb6
440	Cornershop	NULL	NULL	fzjwx
441	Corporation	NULL	NULL	bgf9p
442	Cortinas	NULL	NULL	wjbd3
443	Count Bishops	NULL	NULL	9fw6m
444	Country Gazette	NULL	NULL	db9x2
445	Country Joe McDonald	NULL	NULL	6wdpn
446	Cove	NULL	NULL	x963q
447	Cowcube	NULL	NULL	pdxm5
448	Cows	NULL	NULL	36p28
449	Coyne Clague	NULL	NULL	mx3nv
450	Cozy Powell	NULL	NULL	2pmq4
451	Craig Charles	NULL	NULL	n325c
452	Crane	NULL	NULL	qmn8r
453	Cranebuilders	NULL	NULL	52qvh
454	Cranes	NULL	NULL	8n54z
455	Crass	NULL	NULL	vq8cg
456	Cravats	NULL	NULL	45vrj
457	Credit To The Nation	NULL	NULL	c84hf
458	Crimea	NULL	NULL	rvczb
459	Crisis	NULL	NULL	h4rgw
460	Crispy Ambulance	NULL	NULL	zchj9
461	Cristian Vogel	NULL	NULL	ghgb6
462	Crocodile God	NULL	NULL	jzjwx
463	Cross Section	NULL	NULL	fgf9p
464	Crowbar	NULL	NULL	bjbd3
465	Crowsdell	NULL	NULL	wfw6m
466	Cuban Boys	NULL	NULL	9b9x2
467	Cuban Heels	NULL	NULL	dwdpn
468	Cud	NULL	NULL	6963q
469	Cult	NULL	NULL	xdxm5
470	Culture	NULL	NULL	p6p28
471	Curly	NULL	NULL	3x3nv
472	Curve	NULL	NULL	mpmq4
473	D & V	NULL	NULL	2325c
474	D.C. Lee	NULL	NULL	nmn8r
475	D.O.A.	NULL	NULL	q2qvh
476	D4	NULL	NULL	5n54z
477	Da Vincis	NULL	NULL	8q8cg
478	Daft Punk	NULL	NULL	v5vrj
479	Damon Albarn	NULL	NULL	484hf
480	Dance Fault	NULL	NULL	cvczb
481	Dandelion Adventure	NULL	NULL	r4rgw
482	Daniel Johnston	NULL	NULL	hchj9
483	Danse Society	NULL	NULL	zrzfd
484	Darkness & Jive	NULL	NULL	gzjwx
485	Darkness vs S.F.B.	NULL	NULL	jgf9p
486	Darling Buds	NULL	NULL	fjbd3
487	Datblygu	NULL	NULL	bfw6m
488	Datsuns	NULL	NULL	wb9x2
489	Dave Angel	NULL	NULL	9wdpn
490	Dave Clarke	NULL	NULL	d963q
491	David Bowie	NULL	NULL	6dxm5
492	David Gedge	NULL	NULL	x6p28
493	David Holmes	NULL	NULL	px3nv
494	David Jack	NULL	NULL	3pmq4
495	Dawn Chorus And The Blue Tits	NULL	NULL	m325c
496	Dawn Of The Replicants	NULL	NULL	2mn8r
497	Dawn Parade	NULL	NULL	n2qvh
498	Dawn Thomas	NULL	NULL	qn54z
499	Dawson	NULL	NULL	5q8cg
500	DCL Locomotive	NULL	NULL	85vrj
501	D'Cruze	NULL	NULL	v84hf
502	De La Soul	NULL	NULL	4vczb
503	Dead Can Dance	NULL	NULL	c4rgw
504	Dead Famous People	NULL	NULL	rchj9
505	Dead Kennedys	NULL	NULL	hrzfd
506	Dead Meadow	NULL	NULL	zhgb6
507	Dead On Arrival	NULL	NULL	ggf9p
508	Dead Or Alive	NULL	NULL	jjbd3
509	Deaf School	NULL	NULL	ffw6m
510	Death By Milkfloat	NULL	NULL	bb9x2
511	Decoration	NULL	NULL	wwdpn
512	Deee-Lite	NULL	NULL	9963q
513	Deep Purple	NULL	NULL	ddxm5
514	Deep Turtle	NULL	NULL	66p28
515	Deerhoof	NULL	NULL	xx3nv
516	Definition Of Sound	NULL	NULL	ppmq4
517	Degrassi	NULL	NULL	3325c
518	Deke Leonard	NULL	NULL	mmn8r
519	Del Amitri	NULL	NULL	22qvh
520	Delicatessen	NULL	NULL	nn54z
521	Deltones	NULL	NULL	qq8cg
522	Deluxx Unconvinced	NULL	NULL	55vrj
